run_id,timestamp,model_name,model_version,runtime,precision,language,dataset_name,split,noise_condition,num_samples,num_threads,device,wer,cer,latency_cold_sec,latency_warm_sec,rtf,ram_mb,vram_mb,model_size_mb,score,status,notes
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,hi,kathbath,test_known,clean,10,2,cpu,0.1109,0.0254,0.862,0.322,0.0654,778.8,,188.4,90.41,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,hi,kathbath,test_known,noisy,10,2,cpu,0.1248,0.0399,1.128,0.378,0.0607,806.8,,188.4,89.52,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,ta,kathbath,test_known,clean,10,2,cpu,0.2862,0.0468,1.310,0.420,0.0617,765.4,,188.4,82.40,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,ta,kathbath,test_known,noisy,10,2,cpu,0.2855,0.0534,1.215,0.420,0.0569,732.0,,188.4,82.57,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,te,kathbath,test_known,clean,10,2,cpu,0.2051,0.0388,1.163,0.453,0.0575,697.0,,188.4,86.20,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,indicconformer,1.0.0,sherpa-onnx,int8,te,kathbath,test_known,noisy,10,2,cpu,0.1902,0.0278,1.042,0.450,0.0573,645.1,,188.4,87.09,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,hi,kathbath,test_known,clean,10,2,cpu,1.0788,0.9704,1.513,0.433,0.0882,405.4,,74.6,52.46,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,hi,kathbath,test_known,noisy,10,2,cpu,1.4383,1.4428,1.017,0.440,0.0706,417.9,,74.6,52.39,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,ta,kathbath,test_known,clean,10,2,cpu,1.7214,0.8674,1.120,0.666,0.0976,421.0,,74.6,51.75,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,ta,kathbath,test_known,noisy,10,2,cpu,1.0025,0.4897,1.616,0.564,0.0764,425.6,,74.6,52.01,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,te,kathbath,test_known,clean,10,2,cpu,2.5693,1.8074,1.961,0.666,0.0845,435.1,,74.6,51.69,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_tiny,openai-whisper-tiny,ctranslate2,int8,te,kathbath,test_known,noisy,10,2,cpu,3.7508,2.2157,1.475,0.728,0.0929,442.6,,74.6,51.48,COMPLETED,
run_22fa1311,2026-09-01T23:57:41.110107+00:00,whisper_small,openai-whisper-small,ctranslate2,int8,hi,kathbath,test_known,clean,10,2,cpu,0.7338,0.4483,5.094,886.342,180.4320,459.9,,463.7,36.40,COMPLETED,



